col0 col1
-4.4810e+01 1.9713e-03
-4.6695e-04 4.2064e-06
-4.0828e-04 3.6028e-06
-2.1709e-07 3.3873e-09
-1.2980e-07 3.2789e-09
-6.3347e-08 3.4230e-09
9.3885e-12 5.6334e-12
3.5259e-11 5.1624e-12
1.4246e-10 5.1849e-12
3.1723e-11 4.4949e-12
1.4566e-03 3.2238e-06
6.3506e-07 4.2178e-09
5.0719e-09 6.4250e-09
4.3830e-11 5.8258e-12
2.1882e-09 8.1524e-12
1.1613e-10 6.0157e-12
-7.6195e-14 4.9263e-15
-1.6768e-13 8.0568e-15
-3.5069e-13 6.1440e-15
-4.8221e-15 5.5242e-15
-8.2542e-08 3.3970e-09
1.0845e-09 4.8529e-12
-1.4527e-10 4.5625e-12
-2.1151e-14 5.6382e-15
-1.0360e-13 5.0319e-15
-1.7239e-14 3.9127e-15
7.8380e-17 5.5132e-18
4.1818e-17 5.8965e-18
-8.8902e-17 4.5364e-18
1.7342e-16 3.4230e-18
