col0 col1
-2.1162e+01 2.6412e-04
4.7079e-04 5.9173e-07
-6.1703e-04 5.7294e-07
6.5991e-08 5.1216e-10
-4.0502e-09 5.3829e-10
-8.6354e-08 4.6099e-10
-1.0745e-10 7.1160e-13
6.1705e-11 7.4162e-13
1.4311e-11 7.8161e-13
1.0863e-10 7.3754e-13
-2.3969e-03 3.9040e-07
-1.2981e-07 1.1909e-09
-1.0198e-07 7.3049e-10
3.6229e-11 1.2749e-12
2.1687e-09 1.3370e-12
5.3580e-11 7.8846e-13
7.1307e-14 1.3193e-15
7.5076e-14 1.4556e-15
1.2746e-13 1.6495e-15
-2.3194e-14 9.6727e-16
-1.7959e-07 4.6128e-10
-3.2055e-12 9.4164e-13
1.1824e-09 8.1968e-13
8.8086e-14 1.0972e-15
6.6142e-14 1.0579e-15
1.1503e-13 8.3183e-16
-2.6712e-17 1.0053e-18
-6.3411e-17 1.0615e-18
4.8735e-17 1.1488e-18
-1.8432e-16 9.7779e-19
