col0 col1
-2.8001e+01 7.9302e-04
-4.8537e-04 1.7301e-06
1.0655e-05 1.5274e-06
-8.2948e-08 1.3130e-09
-5.4455e-09 1.2462e-09
-1.2741e-08 1.2935e-09
-5.5772e-11 2.1650e-12
-3.9997e-11 2.0852e-12
6.7644e-11 1.8152e-12
-4.3697e-11 1.7338e-12
-2.3292e-03 1.4664e-06
7.1820e-07 2.6586e-09
5.6659e-08 3.2686e-09
1.9103e-12 2.7227e-12
2.4943e-09 3.7279e-12
-1.8824e-10 3.0617e-12
-6.7959e-14 2.9108e-15
-5.9138e-14 4.7136e-15
-3.7379e-13 3.3391e-15
1.9186e-13 2.6062e-15
-5.9491e-08 1.4781e-09
1.1553e-09 2.4616e-12
-1.9994e-10 2.3301e-12
-6.9701e-14 2.4508e-15
-2.5283e-13 2.6227e-15
1.7704e-13 2.0840e-15
3.7589e-17 2.6752e-18
1.7261e-16 3.5305e-18
1.0798e-16 2.7761e-18
5.0736e-17 1.8274e-18
