col0 col1
-9.1200e+00 1.6847e-04
1.8896e-05 3.4911e-07
-5.8213e-04 4.2063e-07
-1.2859e-09 3.3488e-10
1.2019e-08 3.1179e-10
-3.3734e-08 3.0624e-10
9.9075e-12 5.0668e-13
4.0971e-11 5.2196e-13
1.2859e-11 5.1517e-13
7.3138e-11 6.0501e-13
2.2248e-03 7.5113e-07
-1.4850e-07 1.4927e-09
4.2809e-07 1.4945e-09
4.4909e-11 1.8200e-12
2.1120e-09 1.5680e-12
1.2271e-11 1.2424e-12
4.8319e-14 2.0093e-15
-1.4594e-13 1.9501e-15
1.1519e-14 1.9086e-15
-2.1812e-14 2.0372e-15
-9.3455e-08 7.1758e-10
-2.2044e-11 1.8059e-12
1.0746e-09 1.2152e-12
-5.1703e-14 2.4113e-15
-3.2228e-14 1.8771e-15
2.5675e-15 1.1144e-15
-5.2430e-17 1.7505e-18
1.3493e-17 1.6554e-18
-1.5139e-17 1.5685e-18
-4.4835e-17 1.4544e-18
