col0 col1
-4.3737e+01 1.3689e-04
-4.3363e-04 3.3989e-07
-3.5358e-05 3.4170e-07
-1.8186e-07 2.7040e-10
-1.7722e-08 2.6237e-10
-6.1619e-08 2.4393e-10
2.5536e-11 5.0379e-13
4.9885e-11 4.3454e-13
2.2924e-11 4.7287e-13
2.9617e-11 4.7824e-13
1.6279e-03 9.0270e-07
5.4478e-07 2.0736e-09
2.6602e-09 2.1893e-09
-2.4350e-11 1.8427e-12
2.2426e-09 2.1580e-12
2.5721e-11 2.0098e-12
3.7945e-14 3.0980e-15
-6.6975e-15 2.9105e-15
-1.0283e-13 3.2522e-15
-4.7428e-14 3.1265e-15
-7.2664e-08 1.1778e-09
1.1630e-09 2.5956e-12
7.6218e-11 3.1308e-12
2.6353e-14 2.5002e-15
-6.0047e-15 3.9475e-15
2.8410e-13 4.5124e-15
-3.4299e-17 3.7510e-18
5.2891e-17 3.9451e-18
1.0078e-16 4.8360e-18
2.6470e-16 4.4199e-18
