col0 col1
-2.1153e+01 5.4273e-03
3.5634e-04 1.1167e-05
-4.5027e-04 1.2793e-05
-2.6149e-08 8.7746e-09
1.4681e-08 8.2959e-09
-7.9232e-08 8.2943e-09
-2.7803e-11 1.4281e-11
3.0495e-11 1.3626e-11
4.4039e-11 1.4113e-11
2.7787e-11 1.6683e-11
-2.3058e-03 3.0557e-05
-1.9893e-07 6.4522e-08
-1.9550e-07 6.5246e-08
2.0929e-10 7.0923e-11
2.3379e-09 6.3428e-11
8.9222e-12 4.6729e-11
2.6615e-13 8.3442e-14
1.5244e-13 8.2124e-14
-1.1178e-13 7.8343e-14
1.0169e-13 8.4596e-14
7.4911e-09 3.3591e-08
2.0313e-10 8.2377e-11
1.1731e-09 6.5341e-11
-5.0187e-14 1.1853e-13
-2.8829e-13 8.8346e-14
-1.0947e-13 5.3216e-14
-1.4823e-16 9.9906e-17
-2.6516e-16 9.5886e-17
-2.8037e-18 8.7521e-17
-6.9789e-17 8.4165e-17
