col0 col1
-2.9056e+01 1.9293e-04
-4.9589e-04 5.1894e-07
-3.1712e-05 4.5209e-07
-1.2484e-07 3.2581e-10
7.1514e-09 3.1455e-10
-3.8761e-08 3.7264e-10
7.5758e-11 7.2006e-13
-2.0049e-11 5.7918e-13
1.3292e-11 6.0004e-13
3.2422e-11 6.6944e-13
-2.3386e-03 1.2084e-06
7.8629e-07 3.0468e-09
9.9375e-09 2.7725e-09
2.0671e-11 2.1021e-12
2.3084e-09 2.5196e-12
3.5804e-11 3.0601e-12
-2.2082e-13 4.2778e-15
1.9227e-14 3.6628e-15
-1.0659e-13 3.8433e-15
1.0702e-13 4.1044e-15
-4.6104e-08 1.5196e-09
1.1646e-09 3.5339e-12
-4.3728e-11 3.8095e-12
6.9613e-14 2.8368e-15
-3.4360e-14 4.5639e-15
6.3561e-14 5.9609e-15
9.7607e-17 4.9462e-18
-2.6933e-17 4.8254e-18
-4.4879e-17 5.3635e-18
1.0579e-17 5.5094e-18
