col0 col1
-8.2269e+00 3.1603e-03
1.3295e-04 7.8357e-06
-4.8466e-04 8.9745e-06
-6.5106e-08 7.1128e-09
3.0291e-08 5.8644e-09
-3.8286e-08 6.3248e-09
-3.9231e-11 1.0008e-11
3.1713e-11 1.0429e-11
-6.4915e-11 1.1664e-11
1.6512e-11 1.1873e-11
2.1998e-03 2.2766e-05
8.0160e-08 5.4188e-08
2.1150e-07 5.7862e-08
-2.4074e-11 6.1680e-11
1.9837e-09 4.5379e-11
-2.3113e-11 3.9442e-11
-2.1096e-13 6.9405e-14
3.5872e-13 6.5664e-14
-2.1577e-13 7.3418e-14
1.8545e-13 7.0712e-14
-1.1443e-09 3.8687e-08
2.8028e-10 9.2746e-11
7.2165e-10 8.0442e-11
-3.8212e-13 1.3410e-13
-4.6823e-13 7.8328e-14
-2.2239e-13 5.7931e-14
2.8952e-17 1.2621e-16
6.7359e-16 9.3498e-17
9.2685e-17 1.2340e-16
4.1628e-16 9.1004e-17
