# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: A   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536082001_0210d_00001
#        jw01536082001_0210d_00002
#        jw01538072001_14101_00001
#        jw01538072001_14101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.98-1.29-1.77%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.8310 447.7 72.7
3.8360 515.1 71.6
3.8410 684.0 104.9
3.8460 956.5 10.8
3.8510 1324.2 59.6
3.8560 1684.7 172.9
3.8610 2408.0 185.6
3.8660 3135.4 189.8
3.8710 4165.3 345.9
3.8760 5600.2 477.6
3.8810 7197.2 513.0
3.8860 9061.8 537.6
3.8910 11197.4 460.0
3.8960 13346.6 430.1
3.9010 15083.5 414.1
3.9060 16625.9 214.4
3.9110 17908.5 176.1
3.9160 19203.2 199.4
3.9210 20011.6 252.5
3.9260 20524.7 205.1
3.9310 21344.1 241.3
3.9360 21614.4 327.0
3.9410 21625.2 206.3
3.9460 21764.6 203.0
3.9510 22250.1 206.9
3.9560 22369.8 280.8
3.9610 22353.3 228.5
3.9660 22190.9 230.5
3.9710 22407.3 296.0
3.9760 22462.4 336.3
3.9810 22379.5 322.4
3.9860 22373.1 227.6
3.9910 22481.4 300.0
3.9960 22385.1 321.9
4.0010 22368.0 294.4
4.0060 22719.2 257.1
4.0110 22935.5 446.6
4.0160 23265.5 314.8
4.0210 22858.3 312.9
4.0260 22788.2 213.6
4.0310 22732.8 230.5
4.0360 22775.1 212.0
4.0410 22337.6 226.5
4.0460 22393.9 349.2
4.0510 21573.2 201.1
4.0560 22276.7 250.7
4.0610 22544.9 221.5
4.0660 22656.4 277.6
4.0710 22536.5 231.3
4.0760 22456.5 342.1
4.0810 22410.8 264.1
4.0860 22206.3 207.9
4.0910 22037.3 342.6
4.0960 21963.4 276.4
4.1010 22235.5 207.6
4.1060 21970.9 292.1
4.1110 21837.6 316.1
4.1160 21734.3 332.8
4.1210 21494.9 230.7
4.1260 21532.5 321.3
4.1310 21594.7 322.5
4.1360 21667.9 241.4
4.1410 21591.1 202.5
4.1460 21737.4 204.8
4.1510 21730.1 319.6
4.1560 21494.9 281.4
4.1610 21684.9 387.2
4.1660 22026.3 208.1
4.1710 21746.1 316.9
4.1760 21751.6 266.7
4.1810 21578.0 214.2
4.1860 21313.1 248.7
4.1910 21146.5 266.2
4.1960 21359.7 310.2
4.2010 20846.3 284.2
4.2060 20971.7 399.9
4.2110 21209.2 270.4
4.2160 21121.7 231.5
4.2210 20933.8 254.9
4.2260 21078.3 200.5
4.2310 21021.4 303.5
4.2360 20789.3 312.5
4.2410 20960.3 199.9
4.2460 20751.7 294.4
4.2510 20540.6 283.9
4.2560 20967.7 253.7
4.2610 20971.4 270.5
4.2660 20838.3 376.3
4.2710 20703.7 274.6
4.2760 20706.1 381.0
4.2810 20632.2 264.1
4.2860 20367.3 332.2
