# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: A   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536082001_02103_00001
#        jw01536082001_02103_00002
#        jw01537041001_04101_00001
#        jw01537041001_04101_00002
#        jw01538072001_04101_00001
#        jw01538072001_04101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 1.14-1.49-2.14%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.8270 489.1 30.6
3.8320 585.5 56.8
3.8360 562.4 90.4
3.8410 700.5 16.8
3.8450 894.1 45.2
3.8500 1133.3 45.2
3.8550 1652.1 75.9
3.8600 2186.3 123.1
3.8650 2834.1 31.5
3.8700 3732.8 172.6
3.8750 5039.6 272.8
3.8800 6564.9 309.7
3.8850 8496.6 515.3
3.8900 10268.8 112.4
3.8950 12206.0 134.1
3.9000 14030.3 407.6
3.9050 15990.5 296.2
3.9100 17427.9 250.9
3.9150 18607.0 202.0
3.9200 19533.4 308.7
3.9250 20473.1 372.9
3.9300 21166.0 226.6
3.9350 21396.0 419.9
3.9400 22075.8 378.1
3.9450 22135.6 405.6
3.9500 22213.0 269.0
3.9550 22319.0 344.5
3.9600 22276.2 288.1
3.9650 22319.0 336.8
3.9700 22186.5 497.2
3.9750 22239.4 266.7
3.9800 22259.4 334.2
3.9850 22412.4 240.9
3.9900 22575.1 433.6
3.9950 22400.1 334.8
4.0000 22623.7 317.0
4.0050 22420.8 400.8
4.0100 22565.8 455.8
4.0150 22642.3 344.2
4.0200 22631.0 424.1
4.0250 22301.6 414.0
4.0300 22698.7 474.7
4.0350 22610.9 506.7
4.0400 22225.6 307.7
4.0450 22480.1 240.7
4.0500 22310.5 566.7
4.0550 21669.1 484.7
4.0600 22252.2 431.6
4.0650 22083.6 252.3
4.0700 22236.8 241.2
