# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: B   /pupil: C
# 
# Generated using data from PID 1536, 1538 (PI: Gordon; 4 observations)
# ObsID: jw01536084001_0210d_00001
#        jw01536084001_0210d_00002
#        jw01538073001_14101_00001
#        jw01538073001_14101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.41-0.97-1.68%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.8405 1135.2 139.4
3.8455 1443.7 224.4
3.8505 2000.7 207.4
3.8555 2766.5 182.7
3.8605 3511.1 270.8
3.8655 4665.7 372.4
3.8705 5960.6 374.3
3.8755 7359.6 385.3
3.8805 8796.3 388.4
3.8855 10146.1 189.7
3.8905 11412.9 169.6
3.8955 12612.0 143.1
3.9005 13476.6 170.5
3.9055 14235.9 73.5
3.9105 15014.1 34.4
3.9155 15506.7 76.6
3.9205 16032.4 100.6
3.9255 16418.4 106.0
3.9305 16527.5 200.7
3.9355 16723.3 149.8
3.9405 16907.2 135.2
3.9455 16948.2 216.7
3.9505 17108.1 234.9
3.9555 17188.9 124.8
3.9605 17086.8 223.4
3.9655 16976.2 262.7
3.9705 16955.6 255.1
3.9755 17045.8 129.2
3.9805 17070.6 455.3
3.9855 16977.1 301.3
3.9905 16960.1 198.8
3.9955 16972.4 165.3
4.0005 17121.3 152.4
4.0055 17247.5 35.2
4.0105 17183.5 119.4
4.0155 16841.7 308.1
4.0205 17169.6 292.3
4.0255 17080.7 199.1
4.0305 17020.6 194.6
4.0355 16875.6 134.5
4.0405 16910.3 81.5
4.0455 16613.8 218.2
4.0505 16417.1 150.1
4.0555 17082.2 280.5
4.0605 16973.7 145.5
4.0655 16848.4 112.1
4.0705 16908.1 66.1
4.0755 16805.8 112.6
4.0805 16884.0 140.9
4.0855 16853.1 56.7
4.0905 17146.9 256.2
4.0955 16869.0 127.1
4.1005 16747.6 68.5
4.1055 16709.5 136.8
4.1105 16764.8 47.8
4.1155 16738.9 110.7
4.1205 16637.2 34.5
4.1255 16561.1 73.9
4.1305 16502.7 79.2
4.1355 16627.9 39.9
4.1405 16493.9 61.4
4.1455 16558.4 67.4
4.1505 16471.5 119.6
4.1555 16581.6 100.0
4.1605 16272.6 104.2
4.1655 16434.1 94.8
4.1705 16513.1 351.7
4.1755 16472.8 166.7
4.1805 16235.9 195.4
4.1855 16138.3 34.2
4.1905 16132.0 69.9
4.1955 15993.3 151.9
4.2005 15967.2 161.8
4.2055 16006.2 77.6
4.2105 16066.8 107.8
4.2155 15999.5 136.2
4.2205 16055.0 48.4
4.2255 16020.2 54.9
4.2305 16040.9 63.5
4.2355 15985.6 155.8
4.2405 15927.7 29.0
4.2455 15883.5 27.0
4.2505 15837.0 143.8
4.2555 15828.7 25.1
4.2605 15656.8 178.0
4.2655 15753.5 58.6
4.2705 15727.0 110.2
4.2755 15732.4 73.2
4.2805 15687.3 37.0
4.2855 15636.8 175.1
4.2905 15411.6 161.1
4.2955 15239.8 36.7
4.3005 15285.6 109.8
4.3055 15395.7 99.2
4.3105 15670.9 378.1
4.3155 15385.1 151.2
4.3205 15419.5 53.6
4.3255 15379.5 66.4
4.3305 15128.7 208.1
4.3355 15249.5 82.7
4.3405 15238.9 106.0
4.3455 14981.3 211.6
4.3505 14976.8 251.9
4.3555 14963.7 186.2
4.3605 14847.3 189.9
4.3655 14814.6 104.7
4.3705 14866.4 99.2
4.3755 14933.6 182.9
4.3805 14872.8 118.7
4.3855 14682.4 82.9
4.3905 14563.7 92.1
4.3955 14560.0 29.5
4.4005 14383.5 187.8
4.4055 14256.5 304.8
4.4105 14349.8 62.1
4.4155 14180.9 160.4
4.4205 14292.8 66.5
4.4255 14326.7 134.7
4.4305 14198.0 22.5
4.4355 14166.5 92.1
4.4405 14008.8 31.9
4.4455 14149.1 161.8
4.4505 14071.3 101.9
4.4555 13985.9 96.3
4.4605 13730.9 266.3
4.4655 13852.4 219.1
4.4705 13956.7 178.8
4.4755 13988.6 57.9
