# ----------------------------------------------------------------------
#       JWST/NIRCam WFSS Sensitivity Curve (Cycle-1) 
# 
#       /filter: F444W    /module: B   /pupil: R
# 
# Generated using data from PID 1536, 1537, 1538 (PI: Gordon; 6 observations)
# ObsID: jw01536084001_02103_00001
#        jw01536084001_02103_00002
#        jw01537042001_04101_00001
#        jw01537042001_04101_00002
#        jw01538073001_04101_00001
#        jw01538073001_04101_00002
# Flux Calibration Uncertainty (16-50-84th percentile in FWHM) = 0.67-1.04-1.52%
# Please note that the wavelength space might not be uniform.
# ----------------------------------------------------------------------
# How to use this file? When you have a spectrum extracted as:
#       wavelength sequence [in unit of micron]:   arr_wave
#       spectral sequence   [in unit of DN/S]:     arr_spec
# If the spectrum has to be resampled, do not sum the DN/s along the dispersion direction.
# Simply interpolate the `wavelength` and `DN/s/Jy` column of this table, like:
# >> from scipy import interpolate
# >> ## interpolate the sensitivity curve:
# >> func_sens = interpolate.UnivariateSpline(tb_sens['wavelength'], tb_sens['DN/s/Jy'], ext = 'zeros', k = 1)
# >> ## apply the sensitivity curve: 
# >> arr_spec_mJy = arr_spec / func_sens(arr_wave) * 1e3 # unit: mJy
# ----------------------------------------------------------------------
# Produced by Mr. Fengwu Sun (Steward Observatory, UofArizona), 2022/09/20
# Contact:        fengwusun[AT]arizona.edu 
# ----------------------------------------------------------------------
wavelength DN/s/Jy DN/s/Jy_err
3.8255 542.6 20.5
3.8305 726.2 4.1
3.8357 940.4 80.8
3.8407 1169.6 90.9
3.8460 1648.3 120.9
3.8510 2111.9 159.7
3.8560 2600.5 15.2
3.8610 3463.0 306.9
3.8660 4664.3 313.3
3.8710 5951.9 52.4
3.8760 7301.0 365.4
3.8810 8836.5 279.1
3.8860 10149.5 277.9
3.8910 11448.9 241.5
3.8960 12367.5 77.2
3.9010 13573.7 93.2
3.9060 14361.1 128.1
3.9110 15118.1 175.7
3.9160 15660.2 98.9
3.9210 16094.5 178.5
3.9260 16379.6 164.2
3.9310 16604.9 157.9
3.9360 16866.8 146.3
3.9410 16761.3 207.9
3.9460 16834.8 150.7
3.9510 16882.6 96.9
3.9560 17038.0 137.2
3.9610 17029.4 110.5
3.9660 17052.7 201.4
3.9710 16997.5 213.5
3.9760 17024.7 195.4
3.9810 17009.0 229.6
3.9860 17088.5 197.0
3.9910 16864.8 105.9
3.9960 16992.1 171.5
4.0010 17102.4 188.1
4.0060 17211.3 177.4
4.0110 17327.6 220.5
4.0160 16861.8 229.4
4.0210 17086.5 252.0
4.0260 16951.6 127.7
4.0310 16998.1 236.4
4.0360 17068.8 169.1
4.0410 16986.0 114.8
4.0460 16898.7 244.9
4.0510 16641.6 308.7
4.0560 16944.5 368.4
4.0610 17051.8 102.3
4.0660 16964.0 123.1
4.0710 16958.3 93.1
