# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2025/06/12
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw06434111001_03201_00001_nrca 97 0.0022 -0.0022 0.0019 0.0018 0.0010 0.0012
jw06434111001_03201_00001_nrcb 113 -0.0047 -0.0013 0.0027 0.0030 0.0043 0.0013
jw06434111001_03201_00002_nrca 92 0.0012 0.0002 0.0020 0.0021 0.0014 0.0011
jw06434111001_03201_00002_nrcb 111 -0.0066 0.0003 0.0026 0.0030 0.0022 0.0012
jw06434111001_03201_00003_nrca 91 0.0041 0.0012 0.0021 0.0019 0.0020 0.0011
jw06434111001_03201_00003_nrcb 116 -0.0055 0.0010 0.0026 0.0030 0.0039 0.0014
jw06434112001_05201_00001_nrca 123 0.0025 -0.0019 0.0019 0.0021 0.0024 0.0011
jw06434112001_05201_00001_nrcb 122 -0.0042 -0.0012 0.0025 0.0024 0.0036 0.0012
jw06434112001_05201_00002_nrca 118 0.0022 0.0002 0.0019 0.0023 0.0010 0.0012
jw06434112001_05201_00002_nrcb 125 -0.0059 0.0011 0.0024 0.0022 0.0045 0.0012
jw06434112001_05201_00003_nrca 112 0.0047 0.0005 0.0019 0.0022 0.0025 0.0012
jw06434112001_05201_00003_nrcb 126 -0.0024 0.0016 0.0027 0.0031 0.0025 0.0014
jw06434121001_03201_00001_nrca 114 -0.0039 0.0022 0.0017 0.0019 0.0026 0.0011
jw06434121001_03201_00001_nrcb 104 -0.0147 -0.0013 0.0041 0.0038 0.0028 0.0014
jw06434121001_03201_00002_nrca 129 -0.0025 0.0003 0.0016 0.0018 0.0034 0.0011
jw06434121001_03201_00002_nrcb 96 -0.0132 -0.0043 0.0029 0.0030 0.0009 0.0014
jw06434121001_03201_00003_nrca 109 -0.0052 0.0019 0.0019 0.0023 0.0029 0.0012
jw06434121001_03201_00003_nrcb 103 -0.0177 -0.0024 0.0037 0.0033 0.0026 0.0013
jw06434122001_05201_00001_nrca 137 -0.0032 0.0012 0.0019 0.0016 0.0041 0.0012
jw06434122001_05201_00001_nrcb 106 -0.0134 -0.0030 0.0040 0.0033 0.0016 0.0015
jw06434122001_05201_00002_nrca 133 -0.0008 -0.0006 0.0018 0.0017 0.0037 0.0012
jw06434122001_05201_00002_nrcb 102 -0.0135 -0.0043 0.0030 0.0026 0.0015 0.0012
jw06434122001_05201_00003_nrca 140 -0.0055 0.0009 0.0017 0.0016 0.0042 0.0012
jw06434122001_05201_00003_nrcb 103 -0.0161 -0.0037 0.0022 0.0027 0.0010 0.0012
jw06434131001_03201_00001_nrca 97 0.0083 -0.0050 0.0044 0.0034 -0.0012 0.0021
jw06434131001_03201_00001_nrcb 58 0.0151 -0.0116 0.0042 0.0040 0.0062 0.0032
jw06434131001_03201_00002_nrca 88 0.0050 -0.0020 0.0032 0.0030 0.0016 0.0021
jw06434131001_03201_00002_nrcb 78 0.0072 -0.0103 0.0036 0.0048 0.0033 0.0025
jw06434131001_03201_00003_nrca 83 0.0071 0.0005 0.0029 0.0025 -0.0007 0.0018
jw06434131001_03201_00003_nrcb 79 0.0148 -0.0131 0.0041 0.0042 0.0021 0.0030
jw06434132001_05201_00001_nrca 92 0.0068 -0.0043 0.0029 0.0027 -0.0000 0.0019
jw06434132001_05201_00001_nrcb 67 0.0132 -0.0140 0.0040 0.0037 0.0004 0.0031
jw06434132001_05201_00002_nrca 90 0.0061 -0.0044 0.0034 0.0029 -0.0026 0.0019
jw06434132001_05201_00002_nrcb 75 0.0098 -0.0127 0.0036 0.0048 0.0024 0.0028
jw06434132001_05201_00003_nrca 93 0.0073 -0.0001 0.0037 0.0025 0.0003 0.0018
jw06434132001_05201_00003_nrcb 74 0.0132 -0.0086 0.0037 0.0035 0.0043 0.0027
