     ID    zspec   zconf          RA          DEC        A        B        PA   F090W_mag   F115W_mag   F150W_mag   F200W_mag   F277W_mag   F356W_mag   F444W_mag   F444W_CIRC1   F444W_CIRC2   F444W_CIRC4  
    133   2.2742       6   63.944358   -24.199311    7.586    6.898   -30.817      25.651      24.569      23.336      22.621      22.117      21.474       20.87       9772.51      12384.65      15062.22  
   1097    6.561       4   63.945693   -24.192580    5.570    4.453   -81.135      27.926      26.944      26.605      25.771      25.281      24.797      24.557        104.90        165.29        326.78  
   3382   2.0511       6   63.956623   -24.182508    7.405    4.471    41.081      23.802      23.311      22.909      22.794      22.745      22.632      22.561       1448.33       1999.76       2871.64  
   3700   1.1231       5   63.945778   -24.180569   12.959    5.926    -4.777       24.21      23.212      22.411      21.721      21.081      20.707      20.708       5086.09       7447.60      13087.46  
   5794   1.4067       6   63.945618   -24.173834   12.351    8.211   -88.951      22.405      21.276      20.742      20.435       20.06      19.716      19.233      20908.21      35973.75      60313.62  
   9537   0.5812       6   63.957079   -24.163468   11.888   10.069   -24.015       21.28      20.713       20.26       19.88      19.633      19.854       20.16       8568.39      13030.09      22634.69  
  11166   4.9636       3   63.954383   -24.162810    5.315    3.682    80.592      26.242      26.066      26.011      25.923      24.891      23.973      23.711        758.40        966.39       1139.00  
  15941   6.4798       6   64.001314   -24.152103    6.551    3.348    -2.539      26.832       25.57      25.525      25.533      25.305      24.872       25.17         80.44        125.22        232.81  
  17929   8.4712       5   64.006760   -24.146856    2.258    2.134   -62.801      31.322      29.955      27.948      27.812      27.949      27.673      26.704         55.96         68.72         75.48  
  18212   5.0653       2   63.974432   -24.145006    2.767    2.417    58.701      26.216      26.126      26.009      26.083         nan         nan      26.025         97.19        123.73        147.48  
  20219   5.7402       2   64.005904   -24.140579    4.113    2.958   -24.669      26.533      26.192      26.208      26.135       25.75      24.887      24.555        381.73        468.84        536.14  
  21284   8.4346       5   63.982155   -24.137287    5.307    2.409     4.691      28.657      27.612      26.708      26.641       26.77      26.484      25.987         56.28         81.28        134.45  
  21636   1.1906       6   63.997067   -24.134829   12.490    5.500    36.802      24.114      23.406      22.743      22.229      21.637      21.372      21.319       2651.07       3970.72       7080.86  
  22012   2.7625       6   63.999957   -24.134312    8.299    4.519   -12.752      27.296      26.007      24.942      24.184      23.501      23.235       22.91        811.00       1190.33       1917.65  
